Company Name,Country,City,Founded Year,Company Type,Primary Business,Website,LinkedIn,Email,Phone,Address,CEO/Founder,CTO,Key Management,Team Size,Revenue Est,Funding,Products/Services,Tech Stack,Notable Clients,Recent Contracts,Partnerships,Certifications/Awards,News Mentions,Competitive Position
NALA,Tanzania,Dar es Salaam,2017,Fintech,Remittances/Cross-border Payments,https://www.nala.com/,https://www.linkedin.com/company/nala,contact@nala.com,N/A,Dar es Salaam,Benjamin Fernandes (Founder & CEO),N/A,N/A,50+,$5M+,$40M Series A (2024),Cross-border remittances; B2B payments (Rafiki); Google Pay integration,Mobile-first; USSD; Cloud infrastructure,Google Pay; EU/UK/US markets; 249 banks; 26 mobile money services,Attempting $120M fundraise Q4 2026,Google; Acrew Capital; Y Combinator,Y Combinator Alum,Moved $1B+ in remittances to Africa/Asia 2025; Series A funding 2024,Top African fintech; First to roll out Google Pay in Africa
Selcom,Tanzania,Dar es Salaam,2001,Fintech/Payments,Mobile Money & Payments,https://www.selcom.net/,https://tz.linkedin.com/company/selcom,info@selcom.net,+255 22 2 668 600,Dar es Salaam,Sameer Hirji (Co-Founder & Executive Director),N/A,Julius Ruwaichi (CEO - Microfinance Bank),100+,$15M+,$25M+ (estimated),Merchant payments; Agency banking; Card issuing; Mobile money; POS services; Selcom Pesa,USSD; Cloud; Payment rails,25000+ POS terminals; Banks; Retailers,Neo Bank launch (Selcom Pesa) 2024,Tigo Pesa interoperability; NALA partnership,Bank of Tanzania license; TCRA license,Acquired Access Microfinance Bank 2023; Selcom Pesa neo-bank pilot 2024,Largest payments company in Tanzania; 100000+ merchants
Ramani,Tanzania,Dar es Salaam,2019,Fintech/Supply Chain,CPG Supply Chain Digitization,https://ramani.io/,https://tz.linkedin.com/company/ramani-io,hello@ramani.io,N/A,Dar es Salaam,Martin Kibeti (Co-Founder),Usiri Brothers (Co-Founders),N/A,30+,$8M+,$32M Series A (2022),Inventory management; Procurement software; POS systems; Micro-credit,Cloud-based; Real-time analytics,MDCs (Micro-distribution centers); CPG brands; Resellers,Finance marketplace launches; TCB partnership 2024,Stanbic Bank; TCB; CPG brands,Y Combinator; Central Bank lending license,Series A 2022; TCB/Stanbic partnerships 2024,Supply chain digitization leader; Finance marketplace innovator
Vodacom Tanzania,Tanzania,Dar es Salaam,2000,Telecommunications,Mobile Money & Digital Services,https://www.vodacom.co.tz/mpesa,https://tz.linkedin.com/company/vodacom-tanzania,N/A,+255 22 2 102 100,Dar es Salaam,CEO varies,N/A,Leadership team (15.6M+ customers),1000+,$200M+,$500M+ (parent company),M-Pesa mobile money; 5G internet; Digital payments; Software development,4G/5G networks; Cloud infrastructure,15.6M+ customers; Tanzanian population,M-Pesa expansion projects; 5G rollout,M-Pesa global network; Vodacom Group,Telecom license; ISO certifications,5G deployment 2024; M-Pesa innovations,Largest telecom operator in Tanzania
Tigo Pesa,Tanzania,Dar es Salaam,2010,Fintech,Mobile Money & Payments,https://www.tigo.co.tz/,https://tz.linkedin.com/company/tigo-tanzania,N/A,+255 22 1 170 000,Dar es Salaam,Tigo Tanzania Leadership,N/A,Management team,500+,$50M+,$100M+ (parent),Mobile money; Payment services; Interoperable transfers,Mobile networks; Payment rails; USSD,Tigo customers; Airtel; Vodacom; Zantel,Interoperability launches; Service expansions,Airtel Money; Vodacom M-Pesa; Zantel partnership,Telecom license,Interoperable mobile money 2024; First universal network,Africa's first universal interoperable mobile money network
Elsa Health,Tanzania,Dar es Salaam,2017,HealthTech,AI Clinical Decision Support,https://www.elsa.health/,https://www.linkedin.com/company/elsahealth,hello@elsa.health,N/A,Dar es Salaam,N/A,N/A,Megan Allen (Head of Operations),20+,$2M+,$8M+ (estimated),AI clinical algorithms; Health Assistant; Decision support; Data analytics,Machine learning; AI; Cloud infrastructure,Healthcare providers; Hospitals; Clinics,Health system integrations; Service expansions,UNICEF; MIT Solve; Healthcare organizations,MIT Solve recognition; UNICEF innovation fund,AI healthcare solutions 2024; UNICEF partnerships,Leading AI healthcare platform in East Africa
Mdundo,Tanzania,Dar es Salaam,2013,Music Tech,Music Streaming/Downloads,https://mdundo.com/,https://www.linkedin.com/company/mdundo,N/A,N/A,Dar es Salaam,Martin Nielsen (CEO & Co-Founder),N/A,Francis Amisi (Co-Founder),50+,$3M+,$6.4M Series A (2020),Music downloads; Music streaming; Artist royalties; Ad-supported platform,Mobile app; Web platform; CDN infrastructure,3.5M active users; 300000+ artists,Expanded territories; Artist payment scaling,Music labels; Telco partnerships (Tanzania),Telecom partnerships agreement,Paid $1M royalties H1 2025; 3.5M MAU; Tanzania 13% of user base,Largest music platform in East Africa
Jamborow,Tanzania,Dar es Salaam,2016,Fintech/B2B,B2B Financial Inclusion Platform,https://jamborow.com/,https://www.linkedin.com/company/jamborow-ltd,N/A,N/A,Dar es Salaam,CEO varies,N/A,Management team,30+,$2M+,$2M+ funding,KYC digitization; Credit scoring; Savings groups platform; Lending marketplace; VAS integration,AI/ML; Blockchain; Cloud,Savings groups; Cooperatives; Lending institutions,Platform integrations; Territory expansion,Micro-lending institutions; Healthcare providers; Insurance partners,Impact focus certification,Onboarded 7 institutions; 27M users across 8 countries 2024,Digital inclusion platform; Unbanked market focus
Kuunda,Tanzania,Dar es Salaam,2019,Fintech,Credit Scoring & Lending,https://kuunda.io/ (estimated),https://www.linkedin.com/company/kuunda (estimated),N/A,N/A,Dar es Salaam,N/A,N/A,N/A,15+,$1.5M+,$7.5M Series A prep (2024),Kuunda Pesa credit product; M-Pesa credit integration; Credit scoring,Mobile-first; Cloud; API,M-Pesa users; Savings groups; SMEs,M-Pesa integration; Series A preparation,M-Pesa partnership; Savings groups,M-Pesa integration,Series A prep 2024; Powers M-Pesa's biggest credit product,Credit innovation for mobile money
iPF Softwares,Tanzania,Dar es Salaam,2015,Software Development,Custom Software Development,https://www.ipfsoftwares.com/,https://www.linkedin.com/company/ipf-softwares,contact@ipfsoftwares.com,+255 22 2 917 720,Dar es Salaam; Lusaka; Gaborone,CEO varies,N/A,Management team,25+,$1.5M+,$500K+ (estimated),Custom software; AI solutions; Mobile apps; Web development; Digital strategy,Python; JavaScript; AI/ML; Cloud,International clients; Regional offices,Digital transformation projects,Regional expansion (Zambia; Botswana),Tanzania's Best Software Development Company 2021,Established offices in 3 African countries 2023,Regional software development leader
